Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong
Chervony Kut,5342,Valid,Eucrite-mmict,600,,reclat,reclong
Chetrinahatti,5344,Valid,Stone-uncl,600,,reclat,reclong
Chiang Khan,5345,Valid,H6,600,,reclat,reclong
Chicora,5349,Valid,LL6,600,,reclat,reclong
Chisenga,5355,Valid,"Iron, IIIAB",600,,reclat,reclong
Chitado,5356,Valid,L6,600,,reclat,reclong
Chitenay,5357,Valid,L6,600,,reclat,reclong
Cilimus,5364,Valid,L5,600,,reclat,reclong
Claxton,5374,Valid,L6,600,,reclat,reclong
Clohars,5383,Valid,L4,600,,reclat,reclong
Colby (Wisconsin),5395,Valid,L6,600,,reclat,reclong
Cold Bokkeveld,5397,Valid,CM2,600,,reclat,reclong
Coleman,5401,Valid,L6,600,,reclat,reclong
Collescipoli,5403,Valid,H5,600,,reclat,reclong
Conquista,5418,Valid,H4,600,,reclat,reclong
Cosina,5451,Valid,H5,600,,reclat,reclong
Cranganore,5465,Valid,L6,600,,reclat,reclong
Crescent,5470,Valid,CM2,600,,reclat,reclong
Cronstad,5474,Valid,H5,600,,reclat,reclong
Cross Roads,5476,Valid,H5,600,,reclat,reclong
Crumlin,5477,Valid,L5,600,,reclat,reclong
Cumberland Falls,5496,Valid,Aubrite,600,,reclat,reclong
Cynthiana,5500,Valid,L/LL4,600,,reclat,reclong
Dahmani,5504,Valid,LL6,600,,reclat,reclong
Dandapur,5511,Valid,L6,600,,reclat,reclong
Daniel's Kuil,5513,Valid,EL6,600,,reclat,reclong
Danville,5514,Valid,L6,600,,reclat,reclong
Darmstadt,6603,Valid,H5,600,,reclat,reclong
Dashoguz,6604,Valid,H5,600,,reclat,reclong
Daule,51559,Valid,L5,600,,reclat,reclong
De Cewsville,6621,Valid,H6,600,,reclat,reclong
Deal,6634,Valid,L6,600,,reclat,reclong
Delhi,6642,Valid,L5,600,,reclat,reclong
Demina,6649,Valid,L6,600,,reclat,reclong
Denver,6660,Valid,L6,600,,reclat,reclong
Dergaon,6664,Valid,H5,600,,reclat,reclong
Desuri,6693,Valid,H6,600,,reclat,reclong
Devgaon,6694,Valid,H3.8,600,,reclat,reclong
Devri-Khera,6696,Valid,L6,600,,reclat,reclong
Dhajala,6698,Valid,H3.8,600,,reclat,reclong
Dharwar,6699,Valid,OC,600,,reclat,reclong
Dhurmsala,7640,Valid,LL6,600,,reclat,reclong
Didim,47350,Valid,H3-5,600,,reclat,reclong
Diep River,7642,Valid,L6,600,,reclat,reclong
Distrito Quebracho,7649,Valid,H4,600,,reclat,reclong
Djati-Pengilon,7652,Valid,H6,600,,reclat,reclong
Djermaia,7656,Valid,H,600,,reclat,reclong
Djoumine,7657,Valid,H5-6,600,,reclat,reclong
Dokachi,7658,Valid,H5,600,,reclat,reclong
Dolgovoli,7659,Valid,L6,600,,reclat,reclong
Domanitch,7661,Valid,L5,600,,reclat,reclong
Dong Ujimqin Qi,7706,Valid,Mesosiderite,600,,reclat,reclong
Donga Kohrod,7707,Valid,H6,600,,reclat,reclong
Dongtai,7708,Valid,LL6,600,,reclat,reclong
Doroninsk,7718,Valid,H5-7,600,,reclat,reclong
Dosso,7722,Valid,L6,600,,reclat,reclong
Douar Mghila,7723,Valid,LL6,600,,reclat,reclong
Dowa,7725,Valid,Stone-uncl,600,,reclat,reclong
Drake Creek,7728,Valid,L6,600,,reclat,reclong
Dresden (Ontario),7731,Valid,H6,600,,reclat,reclong
Dubrovnik,7736,Valid,L3-6,600,,reclat,reclong
Dunbogan,7743,Valid,L6,600,,reclat,reclong
Dundrum,7745,Valid,H5,600,,reclat,reclong
Dunhua,7749,Valid,Stone-uncl,600,,reclat,reclong
Durala,7750,Valid,L6,600,,reclat,reclong
Duruma,7752,Valid,L6,600,,reclat,reclong
Duwun,7754,Valid,L6,600,,reclat,reclong
Dwaleni,7755,Valid,H4-6,600,,reclat,reclong
Dyalpur,7757,Valid,Ureilite,600,,reclat,reclong
Dyarrl Island,7758,Valid,Mesosiderite-A1,600,,reclat,reclong
Eagle,7760,Valid,EL6,600,,reclat,reclong
Ehole,7774,Valid,H5,600,,reclat,reclong
Eichstädt,7775,Valid,H5,600,,reclat,reclong
Ekeby,7776,Valid,H4,600,,reclat,reclong
Ekh Khera,7777,Valid,H6,600,,reclat,reclong
El Idrissia,7807,Valid,L6,600,,reclat,reclong
El Paso de Aguila,45977,Valid,H5,600,,reclat,reclong
El Tigre,7819,Valid,L6,600,,reclat,reclong
Elbert,7822,Valid,LL6,600,,reclat,reclong
Elbogen,7823,Valid,"Iron, IID",600,,reclat,reclong
Elenovka,7824,Valid,L5,600,,reclat,reclong
Ellemeet,10019,Valid,Diogenite,600,,reclat,reclong
Emmaville,10033,Valid,Eucrite-mmict,600,,reclat,reclong
Enshi,10038,Valid,H5,600,,reclat,reclong
Ensisheim,10039,Valid,LL6,600,,reclat,reclong
Épinal,10041,Valid,H5,600,,reclat,reclong
Erakot,10042,Valid,CM2,600,,reclat,reclong
Erevan,10043,Valid,Howardite,600,,reclat,reclong
Ergheo,10044,Valid,L5,600,,reclat,reclong
